id;abc;fm;to;capacity;zona;stat;oper;region;area;ts
0;900;4895000;4899999;5000;0;vz;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область;Город Москва, Московская область;7707840631;2025-05-01 12:46:22
0;900;4900000;4999999;100000;2;mg;ООО "Т2 Мобайл";Тамбовская обл.;Тамбовская область;7743895280;2025-05-01 12:46:22
0;900;5000000;5099999;100000;2;mg;ООО "Т2 Мобайл";Вологодская обл.;Вологодская область;7743895280;2025-05-01 12:46:22
0;900;5100000;5199999;100000;2;mg;ООО "Т2 Мобайл";Тамбовская обл.;Тамбовская область;7743895280;2025-05-01 12:46:22
0;900;5200000;5299999;100000;3;mg;ООО "Т2 МОБАЙЛ";Кировская обл.;Кировская область;7743895280;2025-05-01 12:46:22
0;900;5300000;5549999;250000;2;mg;ООО "Т2 Мобайл";Вологодская обл.;Вологодская область;7743895280;2025-05-01 12:46:22
0;900;5550000;5559999;10000;0;vz;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область;Город Москва, Московская область;7707840631;2025-05-01 12:46:22
0;900;5560000;5609999;50000;2;mg;ООО "Т2 Мобайл";Вологодская обл.;Вологодская область;7743895280;2025-05-01 12:46:22
0;900;5610000;5709999;100000;3;mg;ООО "Т2 Мобайл";Калининградская обл.;Калининградская область;7743895280;2025-05-01 12:46:22
0;900;5710000;5809999;100000;2;mg;ООО "Т2 Мобайл";Калужская обл.;Калужская область;7743895280;2025-05-01 12:46:22
0;900;5810000;5909999;100000;2;mg;ООО "Т2 Мобайл";Владимирская обл.;Владимирская область;7743895280;2025-05-01 12:46:22
0;900;5910000;6009999;100000;2;mg;ООО "Т2 Мобайл";Липецкая обл.;Липецкая область;7743895280;2025-05-01 12:46:22
0;900;6010000;6109999;100000;2;mg;ООО "Т2 Мобайл";Рязанская обл.;Рязанская область;7743895280;2025-05-01 12:46:22
0;900;6110000;6199999;90000;0;vz;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область;Город Москва, Московская область;7707840631;2025-05-01 12:46:22
0;900;6200000;6599999;400000;3;mg;ООО "Т2 Мобайл";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7743895280;2025-05-01 12:46:22
0;900;6600000;6699999;100000;6;mg;ООО "Т2 МОБАЙЛ";Сахалинская обл.;Сахалинская область;7743895280;2025-05-01 12:46:22
0;900;6700000;6799999;100000;4;mg;ООО "Т2 МОБАЙЛ";Омская обл.;Омская область;7743895280;2025-05-01 12:46:22
0;900;6800000;6899999;100000;6;mg;ООО "Т2 МОБАЙЛ";Камчатский край;Камчатский край;7743895280;2025-05-01 12:46:22
0;900;6900000;6999999;100000;2;mg;ООО "Т2 Мобайл";Брянская обл.;Брянская область;7743895280;2025-05-01 12:46:22
0;900;7000000;7499999;500000;0;vz;ООО "АНТАРЕС";г. Москва и Московская область;Город Москва, Московская область;7715650666;2025-05-01 12:46:22
0;900;7500000;7699999;200000;4;mg;ООО "АНТАРЕС";Свердловская обл.;Свердловская область;7715650666;2025-05-01 12:46:22
0;900;7700000;7899999;200000;4;mg;ООО "АНТАРЕС";Челябинская обл.;Челябинская область;7715650666;2025-05-01 12:46:22
0;900;7900000;7999999;100000;2;mg;ООО "АНТАРЕС";Воронежская обл.;Воронежская область;7715650666;2025-05-01 12:46:22
0;900;8000000;8124999;125000;3;mg;ООО "ИНТЕГРАЛ";Краснодарский край;Краснодарский край;7713621010;2025-05-01 12:46:22
0;900;8125000;8125999;1000;4;mg;ООО "ИНТЕГРАЛ";Ставропольский край;Ставропольский край;7713621010;2025-05-01 12:46:22
0;900;8126000;8249999;124000;3;mg;ООО "ИНТЕГРАЛ";Ростовская обл.;Ростовская область;7713621010;2025-05-01 12:46:22
0;900;8250000;8374999;125000;3;mg;ООО "ИНТЕГРАЛ";Волгоградская обл.;Волгоградская область;7713621010;2025-05-01 12:46:22
0;900;8375000;8375999;1000;4;mg;ООО "ИНТЕГРАЛ";Томская обл.;Томская область;7713621010;2025-05-01 12:46:22
0;900;8376000;8376999;1000;6;mg;ООО "ИНТЕГРАЛ";Хабаровский край;Хабаровский край;7713621010;2025-05-01 12:46:22
0;900;8377000;8499999;123000;5;mg;ООО "ИНТЕГРАЛ";Иркутская обл.;Иркутская область;7713621010;2025-05-01 12:46:22
0;900;8500000;8998999;499000;3;mg;ООО "АРКТУР";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7717590050;2025-05-01 12:46:22
0;900;8999000;8999999;1000;3;mg;ООО "АРКТУР";Самарская обл.;Самарская область;7717590050;2025-05-01 12:46:22
0;900;9000000;9009999;10000;0;vz;ООО "ГАЗПРОМ ТЕЛЕКОМ";г. Москва и Московская область;Город Москва, Московская область;7740000020;2025-05-01 12:46:22
0;900;9010000;9109999;100000;2;mg;ООО "Т2 Мобайл";Рязанская обл.;Рязанская область;7743895280;2025-05-01 12:46:22
0;900;9110000;9209999;100000;3;mg;ООО "Т2 Мобайл";Архангельская обл.;Архангельская область;7743895280;2025-05-01 12:46:22
0;900;9210000;9239999;30000;4;mg;ООО "Т2 МОБАЙЛ";Томская обл.;Томская область;7743895280;2025-05-01 12:46:22
0;900;9240000;9339999;100000;2;mg;ООО "Т2 Мобайл";Воронежская обл.;Воронежская область;7743895280;2025-05-01 12:46:22
0;900;9340000;9439999;100000;4;mg;ООО "Т2 Мобайл";Мурманская обл.;Мурманская область;7743895280;2025-05-01 12:46:22
0;900;9440000;9639999;200000;2;mg;ООО "Т2 Мобайл";Воронежская обл.;Воронежская область;7743895280;2025-05-01 12:46:22
0;900;9640000;9739999;100000;2;mg;ООО "Т2 Мобайл";Рязанская обл.;Рязанская область;7743895280;2025-05-01 12:46:22
0;900;9740000;9839999;100000;3;mg;ООО "Т2 Мобайл";Республика Коми;Республика Коми;7743895280;2025-05-01 12:46:22
0;900;9840000;9849999;10000;2;mg;ООО "Т2 Мобайл";Тамбовская обл.;Тамбовская область;7743895280;2025-05-01 12:46:22
